"model","scenario","region","variable","unit","year","value"
"WITCH 6.0","SSP2_BAU","brazil","Population","million people",2005,184.6382716
"WITCH 6.0","SSP2_BAU","canada","Population","million people",2005,32.2568158
"WITCH 6.0","SSP2_BAU","ccasia","Population","million people",2005,101.8686793
"WITCH 6.0","SSP2_BAU","china","Population","million people",2005,1310.7185
"WITCH 6.0","SSP2_BAU","eu27","Population","million people",2005,435.7545394
"WITCH 6.0","SSP2_BAU","india","Population","million people",2005,1154.2051504
"WITCH 6.0","SSP2_BAU","indonesia","Population","million people",2005,230.9720592
"WITCH 6.0","SSP2_BAU","japan","Population","million people",2005,127.8214
"WITCH 6.0","SSP2_BAU","korea","Population","million people",2005,48.256268
"WITCH 6.0","SSP2_BAU","laca","Population","million people",2005,264.6453828
"WITCH 6.0","SSP2_BAU","mena","Population","million people",2005,355.3991246
"WITCH 6.0","SSP2_BAU","mexico","Population","million people",2005,105.8424352
"WITCH 6.0","SSP2_BAU","oceania","Population","million people",2005,34.8043116
"WITCH 6.0","SSP2_BAU","othereurope","Population","million people",2005,90.1141332
"WITCH 6.0","SSP2_BAU","sasia","Population","million people",2005,392.0706822
"WITCH 6.0","SSP2_BAU","seasia","Population","million people",2005,332.5430426
"WITCH 6.0","SSP2_BAU","southafrica","Population","million people",2005,49.5017326
"WITCH 6.0","SSP2_BAU","ssa","Population","million people",2005,731.6338156
"WITCH 6.0","SSP2_BAU","te","Population","million people",2005,273.0137428
"WITCH 6.0","SSP2_BAU","usa","Population","million people",2005,295.6081898
"WITCH 6.0","SSP2_BAU","world","Population","million people",2005,6551.6682767
"WITCH 6.0","SSP2_BAU","brazil","Population","million people",2010,193.6620054
"WITCH 6.0","SSP2_BAU","canada","Population","million people",2010,33.987177
"WITCH 6.0","SSP2_BAU","ccasia","Population","million people",2010,107.5528123
"WITCH 6.0","SSP2_BAU","china","Population","million people",2010,1346.15034
"WITCH 6.0","SSP2_BAU","eu27","Population","million people",2010,441.16072
"WITCH 6.0","SSP2_BAU","india","Population","million people",2010,1243.3673474
"WITCH 6.0","SSP2_BAU","indonesia","Population","million people",2010,246.370362
"WITCH 6.0","SSP2_BAU","japan","Population","million people",2010,127.9284
"WITCH 6.0","SSP2_BAU","korea","Population","million people",2010,49.6106292
"WITCH 6.0","SSP2_BAU","laca","Population","million people",2010,280.4921218
"WITCH 6.0","SSP2_BAU","mena","Population","million people",2010,396.7385318
"WITCH 6.0","SSP2_BAU","mexico","Population","million people",2010,113.6119232
"WITCH 6.0","SSP2_BAU","oceania","Population","million people",2010,38.1692222
"WITCH 6.0","SSP2_BAU","othereurope","Population","million people",2010,92.5247232
"WITCH 6.0","SSP2_BAU","sasia","Population","million people",2010,428.8283542
"WITCH 6.0","SSP2_BAU","seasia","Population","million people",2010,356.3430352
"WITCH 6.0","SSP2_BAU","southafrica","Population","million people",2010,52.3929876
"WITCH 6.0","SSP2_BAU","ssa","Population","million people",2010,843.7708272
"WITCH 6.0","SSP2_BAU","te","Population","million people",2010,274.9130876
"WITCH 6.0","SSP2_BAU","usa","Population","million people",2010,309.1307562
"WITCH 6.0","SSP2_BAU","world","Population","million people",2010,6976.7053635
"WITCH 6.0","SSP2_BAU","brazil","Population","million people",2015,201.6321034
"WITCH 6.0","SSP2_BAU","canada","Population","million people",2015,35.7750868
"WITCH 6.0","SSP2_BAU","ccasia","Population","million people",2015,114.730957
"WITCH 6.0","SSP2_BAU","china","Population","million people",2015,1387.71038
"WITCH 6.0","SSP2_BAU","eu27","Population","million people",2015,444.7068138
"WITCH 6.0","SSP2_BAU","india","Population","million people",2015,1327.9465792
"WITCH 6.0","SSP2_BAU","indonesia","Population","million people",2015,261.7006382
"WITCH 6.0","SSP2_BAU","japan","Population","million people",2015,127.182
"WITCH 6.0","SSP2_BAU","korea","Population","million people",2015,50.9540426
"WITCH 6.0","SSP2_BAU","laca","Population","million people",2015,296.1099464
"WITCH 6.0","SSP2_BAU","mena","Population","million people",2015,441.2642948
"WITCH 6.0","SSP2_BAU","mexico","Population","million people",2015,120.9703096
